"n","gram","annee","mois","rubrique","total"
4,"paix",1945,12,"inclassable",4248522
185,"paix",1945,12,"international",4248522
28,"paix",1945,12,"politique",4248522
2,"paix",1945,12,"science/technologie",4248522
4,"paix",1945,12,"société",4248522
3,"paix",1945,12,"économie",4248522
6,"paix",1946,1,"culture",5910189
6,"paix",1946,1,"inclassable",5910189
120,"paix",1946,1,"international",5910189
93,"paix",1946,1,"politique",5910189
1,"paix",1946,1,"société",5910189
1,"paix",1946,1,"économie",5910189
14,"paix",1946,2,"culture",5910189
3,"paix",1946,2,"inclassable",5910189
110,"paix",1946,2,"international",5910189
27,"paix",1946,2,"politique",5910189
4,"paix",1946,2,"société",5910189
1,"paix",1946,2,"économie",5910189
5,"paix",1946,3,"culture",5910189
5,"paix",1946,3,"inclassable",5910189
102,"paix",1946,3,"international",5910189
29,"paix",1946,3,"politique",5910189
2,"paix",1946,3,"science/technologie",5910189
4,"paix",1946,3,"société",5910189
6,"paix",1946,3,"économie",5910189
10,"paix",1946,4,"culture",5910189
5,"paix",1946,4,"inclassable",5910189
146,"paix",1946,4,"international",5910189
55,"paix",1946,4,"politique",5910189
3,"paix",1946,4,"science/technologie",5910189
6,"paix",1946,4,"société",5910189
6,"paix",1946,4,"économie",5910189
6,"paix",1946,5,"culture",5910189
4,"paix",1946,5,"inclassable",5910189
214,"paix",1946,5,"international",5910189
51,"paix",1946,5,"politique",5910189
3,"paix",1946,5,"science/technologie",5910189
8,"paix",1946,5,"société",5910189
5,"paix",1946,5,"économie",5910189
15,"paix",1946,6,"culture",5910189
187,"paix",1946,6,"international",5910189
30,"paix",1946,6,"politique",5910189
2,"paix",1946,6,"science/technologie",5910189
6,"paix",1946,6,"société",5910189
2,"paix",1946,6,"sport",5910189
3,"paix",1946,6,"économie",5910189
24,"paix",1946,7,"culture",5910189
1,"paix",1946,7,"inclassable",5910189
283,"paix",1946,7,"international",5910189
99,"paix",1946,7,"politique",5910189
6,"paix",1946,7,"science/technologie",5910189
5,"paix",1946,7,"société",5910189
1,"paix",1946,7,"sport",5910189
6,"paix",1946,7,"économie",5910189
15,"paix",1946,8,"culture",5910189
11,"paix",1946,8,"inclassable",5910189
354,"paix",1946,8,"international",5910189
70,"paix",1946,8,"politique",5910189
1,"paix",1946,8,"science/technologie",5910189
2,"paix",1946,8,"société",5910189
1,"paix",1946,8,"économie",5910189
9,"paix",1946,9,"culture",5910189
16,"paix",1946,9,"inclassable",5910189
256,"paix",1946,9,"international",5910189
49,"paix",1946,9,"politique",5910189
4,"paix",1946,9,"société",5910189
1,"paix",1946,9,"sport",5910189
1,"paix",1946,9,"économie",5910189
6,"paix",1946,10,"culture",5910189
7,"paix",1946,10,"inclassable",5910189
301,"paix",1946,10,"international",5910189
51,"paix",1946,10,"politique",5910189
6,"paix",1946,10,"science/technologie",5910189
3,"paix",1946,10,"société",5910189
8,"paix",1946,11,"culture",5910189
162,"paix",1946,11,"international",5910189
39,"paix",1946,11,"politique",5910189
1,"paix",1946,11,"science/technologie",5910189
6,"paix",1946,11,"société",5910189
1,"paix",1946,11,"sport",5910189
1,"paix",1946,11,"économie",5910189
16,"paix",1946,12,"culture",5910189
2,"paix",1946,12,"inclassable",5910189
138,"paix",1946,12,"international",5910189
31,"paix",1946,12,"politique",5910189
5,"paix",1946,12,"société",5910189
4,"paix",1946,12,"économie",5910189
10,"paix",1947,1,"culture",5299085
5,"paix",1947,1,"inclassable",5299085
227,"paix",1947,1,"international",5299085
50,"paix",1947,1,"politique",5299085
1,"paix",1947,1,"société",5299085
4,"paix",1947,1,"économie",5299085
5,"paix",1947,2,"culture",5299085
1,"paix",1947,2,"inclassable",5299085
154,"paix",1947,2,"international",5299085
30,"paix",1947,2,"politique",5299085
1,"paix",1947,2,"science/technologie",5299085
2,"paix",1947,2,"société",5299085
1,"paix",1947,2,"économie",5299085
2,"paix",1947,3,"culture",5299085
1,"paix",1947,3,"inclassable",5299085
76,"paix",1947,3,"international",5299085
11,"paix",1947,3,"politique",5299085
3,"paix",1947,3,"société",5299085
10,"paix",1947,4,"culture",5299085
3,"paix",1947,4,"inclassable",5299085
120,"paix",1947,4,"international",5299085
37,"paix",1947,4,"politique",5299085
8,"paix",1947,4,"société",5299085
2,"paix",1947,4,"économie",5299085
13,"paix",1947,5,"culture",5299085
2,"paix",1947,5,"inclassable",5299085
113,"paix",1947,5,"international",5299085
31,"paix",1947,5,"politique",5299085
4,"paix",1947,5,"société",5299085
2,"paix",1947,5,"économie",5299085
6,"paix",1947,6,"culture",5299085
2,"paix",1947,6,"inclassable",5299085
129,"paix",1947,6,"international",5299085
30,"paix",1947,6,"politique",5299085
6,"paix",1947,6,"société",5299085
3,"paix",1947,6,"économie",5299085
6,"paix",1947,7,"culture",5299085
13,"paix",1947,7,"inclassable",5299085
159,"paix",1947,7,"international",5299085
47,"paix",1947,7,"politique",5299085
2,"paix",1947,7,"science/technologie",5299085
15,"paix",1947,7,"société",5299085
1,"paix",1947,7,"sport",5299085
4,"paix",1947,7,"économie",5299085
13,"paix",1947,8,"culture",5299085
14,"paix",1947,8,"inclassable",5299085
161,"paix",1947,8,"international",5299085
45,"paix",1947,8,"politique",5299085
1,"paix",1947,8,"science/technologie",5299085
16,"paix",1947,8,"société",5299085
3,"paix",1947,8,"sport",5299085
1,"paix",1947,8,"économie",5299085
8,"paix",1947,9,"culture",5299085
5,"paix",1947,9,"inclassable",5299085
199,"paix",1947,9,"international",5299085
71,"paix",1947,9,"politique",5299085
3,"paix",1947,9,"science/technologie",5299085
24,"paix",1947,9,"société",5299085
1,"paix",1947,9,"sport",5299085
2,"paix",1947,9,"économie",5299085
4,"paix",1947,10,"culture",5299085
3,"paix",1947,10,"inclassable",5299085
106,"paix",1947,10,"international",5299085
41,"paix",1947,10,"politique",5299085
5,"paix",1947,10,"société",5299085
6,"paix",1947,11,"culture",5299085
120,"paix",1947,11,"international",5299085
31,"paix",1947,11,"politique",5299085
1,"paix",1947,11,"science/technologie",5299085
12,"paix",1947,11,"société",5299085
1,"paix",1947,11,"sport",5299085
1,"paix",1947,11,"économie",5299085
9,"paix",1947,12,"culture",5299085
86,"paix",1947,12,"international",5299085
18,"paix",1947,12,"politique",5299085
3,"paix",1947,12,"science/technologie",5299085
6,"paix",1947,12,"société",5299085
1,"paix",1947,12,"sport",5299085
1,"paix",1947,12,"économie",5299085
12,"paix",1948,1,"culture",6210111
6,"paix",1948,1,"inclassable",6210111
91,"paix",1948,1,"international",6210111
15,"paix",1948,1,"politique",6210111
1,"paix",1948,1,"science/technologie",6210111
3,"paix",1948,1,"société",6210111
4,"paix",1948,1,"économie",6210111
8,"paix",1948,2,"culture",6210111
2,"paix",1948,2,"inclassable",6210111
83,"paix",1948,2,"international",6210111
23,"paix",1948,2,"politique",6210111
6,"paix",1948,2,"société",6210111
1,"paix",1948,2,"économie",6210111
4,"paix",1948,3,"culture",6210111
198,"paix",1948,3,"international",6210111
28,"paix",1948,3,"politique",6210111
8,"paix",1948,3,"société",6210111
2,"paix",1948,3,"sport",6210111
20,"paix",1948,4,"culture",6210111
7,"paix",1948,4,"inclassable",6210111
103,"paix",1948,4,"international",6210111
42,"paix",1948,4,"politique",6210111
1,"paix",1948,4,"science/technologie",6210111
4,"paix",1948,4,"société",6210111
7,"paix",1948,4,"économie",6210111
8,"paix",1948,5,"culture",6210111
17,"paix",1948,5,"inclassable",6210111
137,"paix",1948,5,"international",6210111
24,"paix",1948,5,"politique",6210111
5,"paix",1948,5,"société",6210111
3,"paix",1948,5,"économie",6210111
13,"paix",1948,6,"culture",6210111
1,"paix",1948,6,"inclassable",6210111
103,"paix",1948,6,"international",6210111
39,"paix",1948,6,"politique",6210111
9,"paix",1948,6,"société",6210111
1,"paix",1948,6,"sport",6210111
1,"paix",1948,6,"économie",6210111
28,"paix",1948,7,"culture",6210111
8,"paix",1948,7,"inclassable",6210111
90,"paix",1948,7,"international",6210111
37,"paix",1948,7,"politique",6210111
1,"paix",1948,7,"science/technologie",6210111
2,"paix",1948,7,"société",6210111
3,"paix",1948,7,"sport",6210111
3,"paix",1948,7,"économie",6210111
33,"paix",1948,8,"culture",6210111
14,"paix",1948,8,"inclassable",6210111
107,"paix",1948,8,"international",6210111
35,"paix",1948,8,"politique",6210111
15,"paix",1948,8,"société",6210111
1,"paix",1948,8,"sport",6210111
5,"paix",1948,8,"économie",6210111
16,"paix",1948,9,"culture",6210111
8,"paix",1948,9,"inclassable",6210111
167,"paix",1948,9,"international",6210111
44,"paix",1948,9,"politique",6210111
18,"paix",1948,9,"société",6210111
7,"paix",1948,9,"économie",6210111
17,"paix",1948,10,"culture",6210111
3,"paix",1948,10,"inclassable",6210111
169,"paix",1948,10,"international",6210111
29,"paix",1948,10,"politique",6210111
2,"paix",1948,10,"science/technologie",6210111
2,"paix",1948,10,"société",6210111
3,"paix",1948,10,"économie",6210111
20,"paix",1948,11,"culture",6210111
7,"paix",1948,11,"inclassable",6210111
144,"paix",1948,11,"international",6210111
34,"paix",1948,11,"politique",6210111
7,"paix",1948,11,"société",6210111
1,"paix",1948,11,"économie",6210111
22,"paix",1948,12,"culture",6210111
4,"paix",1948,12,"inclassable",6210111
197,"paix",1948,12,"international",6210111
41,"paix",1948,12,"politique",6210111
1,"paix",1948,12,"science/technologie",6210111
13,"paix",1948,12,"société",6210111
1,"paix",1948,12,"sport",6210111
2,"paix",1948,12,"économie",6210111
16,"paix",1949,1,"culture",6993984
7,"paix",1949,1,"inclassable",6993984
217,"paix",1949,1,"international",6993984
44,"paix",1949,1,"politique",6993984
1,"paix",1949,1,"science/technologie",6993984
13,"paix",1949,1,"société",6993984
1,"paix",1949,1,"économie",6993984
8,"paix",1949,2,"culture",6993984
2,"paix",1949,2,"inclassable",6993984
185,"paix",1949,2,"international",6993984
80,"paix",1949,2,"politique",6993984
5,"paix",1949,2,"société",6993984
3,"paix",1949,2,"économie",6993984
17,"paix",1949,3,"culture",6993984
2,"paix",1949,3,"inclassable",6993984
268,"paix",1949,3,"international",6993984
130,"paix",1949,3,"politique",6993984
8,"paix",1949,3,"société",6993984
3,"paix",1949,3,"économie",6993984
42,"paix",1949,4,"culture",6993984
11,"paix",1949,4,"inclassable",6993984
258,"paix",1949,4,"international",6993984
177,"paix",1949,4,"politique",6993984
10,"paix",1949,4,"société",6993984
5,"paix",1949,4,"économie",6993984
27,"paix",1949,5,"culture",6993984
3,"paix",1949,5,"inclassable",6993984
168,"paix",1949,5,"international",6993984
41,"paix",1949,5,"politique",6993984
12,"paix",1949,5,"société",6993984
4,"paix",1949,5,"économie",6993984
24,"paix",1949,6,"culture",6993984
4,"paix",1949,6,"inclassable",6993984
118,"paix",1949,6,"international",6993984
25,"paix",1949,6,"politique",6993984
1,"paix",1949,6,"science/technologie",6993984
9,"paix",1949,6,"société",6993984
1,"paix",1949,6,"sport",6993984
2,"paix",1949,6,"économie",6993984
26,"paix",1949,7,"culture",6993984
11,"paix",1949,7,"inclassable",6993984
121,"paix",1949,7,"international",6993984
52,"paix",1949,7,"politique",6993984
11,"paix",1949,7,"société",6993984
1,"paix",1949,7,"sport",6993984
24,"paix",1949,8,"culture",6993984
6,"paix",1949,8,"inclassable",6993984
130,"paix",1949,8,"international",6993984
32,"paix",1949,8,"politique",6993984
1,"paix",1949,8,"science/technologie",6993984
10,"paix",1949,8,"société",6993984
1,"paix",1949,8,"économie",6993984
9,"paix",1949,9,"culture",6993984
5,"paix",1949,9,"inclassable",6993984
134,"paix",1949,9,"international",6993984
31,"paix",1949,9,"politique",6993984
5,"paix",1949,9,"science/technologie",6993984
23,"paix",1949,9,"société",6993984
2,"paix",1949,9,"économie",6993984
16,"paix",1949,10,"culture",6993984
2,"paix",1949,10,"inclassable",6993984
152,"paix",1949,10,"international",6993984
42,"paix",1949,10,"politique",6993984
19,"paix",1949,10,"société",6993984
3,"paix",1949,10,"économie",6993984
8,"paix",1949,11,"culture",6993984
5,"paix",1949,11,"inclassable",6993984
196,"paix",1949,11,"international",6993984
38,"paix",1949,11,"politique",6993984
7,"paix",1949,11,"société",6993984
1,"paix",1949,11,"économie",6993984
24,"paix",1949,12,"culture",6993984
5,"paix",1949,12,"inclassable",6993984
132,"paix",1949,12,"international",6993984
55,"paix",1949,12,"politique",6993984
6,"paix",1949,12,"société",6993984
2,"paix",1949,12,"économie",6993984
13,"paix",1950,1,"culture",7990606
139,"paix",1950,1,"international",7990606
70,"paix",1950,1,"politique",7990606
2,"paix",1950,1,"science/technologie",7990606
12,"paix",1950,1,"société",7990606
2,"paix",1950,1,"économie",7990606
13,"paix",1950,2,"culture",7990606
8,"paix",1950,2,"inclassable",7990606
144,"paix",1950,2,"international",7990606
63,"paix",1950,2,"politique",7990606
26,"paix",1950,2,"société",7990606
2,"paix",1950,2,"économie",7990606
18,"paix",1950,3,"culture",7990606
4,"paix",1950,3,"inclassable",7990606
181,"paix",1950,3,"international",7990606
44,"paix",1950,3,"politique",7990606
1,"paix",1950,3,"science/technologie",7990606
8,"paix",1950,3,"société",7990606
1,"paix",1950,3,"économie",7990606
12,"paix",1950,4,"culture",7990606
7,"paix",1950,4,"inclassable",7990606
140,"paix",1950,4,"international",7990606
72,"paix",1950,4,"politique",7990606
19,"paix",1950,4,"société",7990606
1,"paix",1950,4,"économie",7990606
22,"paix",1950,5,"culture",7990606
2,"paix",1950,5,"inclassable",7990606
184,"paix",1950,5,"international",7990606
101,"paix",1950,5,"politique",7990606
6,"paix",1950,5,"science/technologie",7990606
12,"paix",1950,5,"société",7990606
17,"paix",1950,6,"culture",7990606
3,"paix",1950,6,"inclassable",7990606
209,"paix",1950,6,"international",7990606
76,"paix",1950,6,"politique",7990606
1,"paix",1950,6,"science/technologie",7990606
18,"paix",1950,6,"société",7990606
1,"paix",1950,6,"sport",7990606
5,"paix",1950,6,"économie",7990606
23,"paix",1950,7,"culture",7990606
9,"paix",1950,7,"inclassable",7990606
205,"paix",1950,7,"international",7990606
51,"paix",1950,7,"politique",7990606
10,"paix",1950,7,"société",7990606
1,"paix",1950,7,"sport",7990606
2,"paix",1950,7,"économie",7990606
22,"paix",1950,8,"culture",7990606
12,"paix",1950,8,"inclassable",7990606
167,"paix",1950,8,"international",7990606
42,"paix",1950,8,"politique",7990606
1,"paix",1950,8,"science/technologie",7990606
21,"paix",1950,8,"société",7990606
4,"paix",1950,8,"économie",7990606
17,"paix",1950,9,"culture",7990606
7,"paix",1950,9,"inclassable",7990606
227,"paix",1950,9,"international",7990606
89,"paix",1950,9,"politique",7990606
1,"paix",1950,9,"science/technologie",7990606
8,"paix",1950,9,"société",7990606
5,"paix",1950,9,"économie",7990606
16,"paix",1950,10,"culture",7990606
3,"paix",1950,10,"inclassable",7990606
285,"paix",1950,10,"international",7990606
77,"paix",1950,10,"politique",7990606
1,"paix",1950,10,"science/technologie",7990606
16,"paix",1950,10,"société",7990606
1,"paix",1950,10,"sport",7990606
6,"paix",1950,10,"économie",7990606
19,"paix",1950,11,"culture",7990606
13,"paix",1950,11,"inclassable",7990606
222,"paix",1950,11,"international",7990606
49,"paix",1950,11,"politique",7990606
1,"paix",1950,11,"science/technologie",7990606
19,"paix",1950,11,"société",7990606
2,"paix",1950,11,"économie",7990606
46,"paix",1950,12,"culture",7990606
4,"paix",1950,12,"inclassable",7990606
273,"paix",1950,12,"international",7990606
67,"paix",1950,12,"politique",7990606
5,"paix",1950,12,"société",7990606
5,"paix",1950,12,"économie",7990606
16,"paix",1951,1,"culture",8019533
5,"paix",1951,1,"inclassable",8019533
286,"paix",1951,1,"international",8019533
61,"paix",1951,1,"politique",8019533
10,"paix",1951,1,"société",8019533
1,"paix",1951,1,"économie",8019533
17,"paix",1951,2,"culture",8019533
7,"paix",1951,2,"inclassable",8019533
211,"paix",1951,2,"international",8019533
41,"paix",1951,2,"politique",8019533
13,"paix",1951,2,"société",8019533
1,"paix",1951,2,"sport",8019533
1,"paix",1951,2,"économie",8019533
25,"paix",1951,3,"culture",8019533
8,"paix",1951,3,"inclassable",8019533
235,"paix",1951,3,"international",8019533
34,"paix",1951,3,"politique",8019533
1,"paix",1951,3,"science/technologie",8019533
4,"paix",1951,3,"société",8019533
1,"paix",1951,3,"sport",8019533
5,"paix",1951,3,"économie",8019533
9,"paix",1951,4,"culture",8019533
5,"paix",1951,4,"inclassable",8019533
363,"paix",1951,4,"international",8019533
46,"paix",1951,4,"politique",8019533
1,"paix",1951,4,"science/technologie",8019533
5,"paix",1951,4,"société",8019533
3,"paix",1951,4,"économie",8019533
33,"paix",1951,5,"culture",8019533
3,"paix",1951,5,"inclassable",8019533
188,"paix",1951,5,"international",8019533
44,"paix",1951,5,"politique",8019533
14,"paix",1951,5,"société",8019533
1,"paix",1951,5,"sport",8019533
5,"paix",1951,5,"économie",8019533
20,"paix",1951,6,"culture",8019533
7,"paix",1951,6,"inclassable",8019533
314,"paix",1951,6,"international",8019533
64,"paix",1951,6,"politique",8019533
1,"paix",1951,6,"science/technologie",8019533
11,"paix",1951,6,"société",8019533
1,"paix",1951,6,"économie",8019533
21,"paix",1951,7,"culture",8019533
6,"paix",1951,7,"inclassable",8019533
350,"paix",1951,7,"international",8019533
46,"paix",1951,7,"politique",8019533
11,"paix",1951,7,"société",8019533
6,"paix",1951,7,"économie",8019533
18,"paix",1951,8,"culture",8019533
4,"paix",1951,8,"inclassable",8019533
325,"paix",1951,8,"international",8019533
40,"paix",1951,8,"politique",8019533
11,"paix",1951,8,"société",8019533
2,"paix",1951,8,"économie",8019533
8,"paix",1951,9,"culture",8019533
9,"paix",1951,9,"inclassable",8019533
397,"paix",1951,9,"international",8019533
65,"paix",1951,9,"politique",8019533
17,"paix",1951,9,"société",8019533
1,"paix",1951,9,"sport",8019533
4,"paix",1951,9,"économie",8019533
13,"paix",1951,10,"culture",8019533
7,"paix",1951,10,"inclassable",8019533
207,"paix",1951,10,"international",8019533
37,"paix",1951,10,"politique",8019533
10,"paix",1951,10,"société",8019533
1,"paix",1951,10,"économie",8019533
13,"paix",1951,11,"culture",8019533
9,"paix",1951,11,"inclassable",8019533
312,"paix",1951,11,"international",8019533
87,"paix",1951,11,"politique",8019533
3,"paix",1951,11,"science/technologie",8019533
8,"paix",1951,11,"société",8019533
1,"paix",1951,11,"sport",8019533
2,"paix",1951,11,"économie",8019533
67,"paix",1951,12,"culture",8019533
21,"paix",1951,12,"inclassable",8019533
147,"paix",1951,12,"international",8019533
53,"paix",1951,12,"politique",8019533
1,"paix",1951,12,"science/technologie",8019533
5,"paix",1951,12,"société",8019533
10,"paix",1951,12,"économie",8019533
11,"paix",1952,1,"culture",9199465
4,"paix",1952,1,"inclassable",9199465
216,"paix",1952,1,"international",9199465
50,"paix",1952,1,"politique",9199465
1,"paix",1952,1,"science/technologie",9199465
8,"paix",1952,1,"société",9199465
1,"paix",1952,1,"économie",9199465
19,"paix",1952,2,"culture",9199465
4,"paix",1952,2,"inclassable",9199465
174,"paix",1952,2,"international",9199465
45,"paix",1952,2,"politique",9199465
1,"paix",1952,2,"science/technologie",9199465
10,"paix",1952,2,"société",9199465
22,"paix",1952,3,"culture",9199465
11,"paix",1952,3,"inclassable",9199465
226,"paix",1952,3,"international",9199465
25,"paix",1952,3,"politique",9199465
11,"paix",1952,3,"société",9199465
3,"paix",1952,3,"économie",9199465
12,"paix",1952,4,"culture",9199465
2,"paix",1952,4,"inclassable",9199465
211,"paix",1952,4,"international",9199465
23,"paix",1952,4,"politique",9199465
5,"paix",1952,4,"société",9199465
1,"paix",1952,4,"sport",9199465
2,"paix",1952,4,"économie",9199465
19,"paix",1952,5,"culture",9199465
25,"paix",1952,5,"inclassable",9199465
187,"paix",1952,5,"international",9199465
54,"paix",1952,5,"politique",9199465
6,"paix",1952,5,"science/technologie",9199465
16,"paix",1952,5,"société",9199465
3,"paix",1952,5,"économie",9199465
24,"paix",1952,6,"culture",9199465
10,"paix",1952,6,"inclassable",9199465
116,"paix",1952,6,"international",9199465
152,"paix",1952,6,"politique",9199465
4,"paix",1952,6,"science/technologie",9199465
23,"paix",1952,6,"société",9199465
2,"paix",1952,6,"sport",9199465
3,"paix",1952,6,"économie",9199465
22,"paix",1952,7,"culture",9199465
4,"paix",1952,7,"inclassable",9199465
120,"paix",1952,7,"international",9199465
43,"paix",1952,7,"politique",9199465
8,"paix",1952,7,"société",9199465
1,"paix",1952,7,"sport",9199465
17,"paix",1952,8,"culture",9199465
9,"paix",1952,8,"inclassable",9199465
138,"paix",1952,8,"international",9199465
15,"paix",1952,8,"politique",9199465
1,"paix",1952,8,"science/technologie",9199465
6,"paix",1952,8,"société",9199465
1,"paix",1952,8,"sport",9199465
3,"paix",1952,8,"économie",9199465
31,"paix",1952,9,"culture",9199465
13,"paix",1952,9,"inclassable",9199465
186,"paix",1952,9,"international",9199465
54,"paix",1952,9,"politique",9199465
1,"paix",1952,9,"science/technologie",9199465
4,"paix",1952,9,"société",9199465
2,"paix",1952,9,"sport",9199465
3,"paix",1952,9,"économie",9199465
22,"paix",1952,10,"culture",9199465
18,"paix",1952,10,"inclassable",9199465
162,"paix",1952,10,"international",9199465
51,"paix",1952,10,"politique",9199465
17,"paix",1952,10,"société",9199465
6,"paix",1952,10,"économie",9199465
24,"paix",1952,11,"culture",9199465
1,"paix",1952,11,"inclassable",9199465
122,"paix",1952,11,"international",9199465
85,"paix",1952,11,"politique",9199465
1,"paix",1952,11,"science/technologie",9199465
12,"paix",1952,11,"société",9199465
4,"paix",1952,11,"économie",9199465
32,"paix",1952,12,"culture",9199465
2,"paix",1952,12,"inclassable",9199465
192,"paix",1952,12,"international",9199465
33,"paix",1952,12,"politique",9199465
11,"paix",1952,12,"société",9199465
3,"paix",1952,12,"économie",9199465
20,"paix",1953,1,"culture",9566885
7,"paix",1953,1,"inclassable",9566885
128,"paix",1953,1,"international",9566885
69,"paix",1953,1,"politique",9566885
2,"paix",1953,1,"société",9566885
1,"paix",1953,1,"sport",9566885
5,"paix",1953,2,"culture",9566885
14,"paix",1953,2,"inclassable",9566885
66,"paix",1953,2,"international",9566885
42,"paix",1953,2,"politique",9566885
6,"paix",1953,2,"société",9566885
2,"paix",1953,2,"économie",9566885
9,"paix",1953,3,"culture",9566885
5,"paix",1953,3,"inclassable",9566885
175,"paix",1953,3,"international",9566885
74,"paix",1953,3,"politique",9566885
2,"paix",1953,3,"société",9566885
21,"paix",1953,4,"culture",9566885
12,"paix",1953,4,"inclassable",9566885
447,"paix",1953,4,"international",9566885
109,"paix",1953,4,"politique",9566885
10,"paix",1953,4,"société",9566885
8,"paix",1953,4,"économie",9566885
32,"paix",1953,5,"culture",9566885
3,"paix",1953,5,"inclassable",9566885
185,"paix",1953,5,"international",9566885
52,"paix",1953,5,"politique",9566885
10,"paix",1953,5,"société",9566885
2,"paix",1953,5,"économie",9566885
15,"paix",1953,6,"culture",9566885
3,"paix",1953,6,"inclassable",9566885
107,"paix",1953,6,"international",9566885
88,"paix",1953,6,"politique",9566885
10,"paix",1953,6,"société",9566885
1,"paix",1953,6,"sport",9566885
4,"paix",1953,6,"économie",9566885
36,"paix",1953,7,"culture",9566885
9,"paix",1953,7,"inclassable",9566885
274,"paix",1953,7,"international",9566885
71,"paix",1953,7,"politique",9566885
23,"paix",1953,7,"société",9566885
3,"paix",1953,7,"économie",9566885
21,"paix",1953,8,"culture",9566885
7,"paix",1953,8,"inclassable",9566885
232,"paix",1953,8,"international",9566885
12,"paix",1953,8,"politique",9566885
2,"paix",1953,8,"science/technologie",9566885
12,"paix",1953,8,"société",9566885
14,"paix",1953,9,"culture",9566885
2,"paix",1953,9,"inclassable",9566885
190,"paix",1953,9,"international",9566885
36,"paix",1953,9,"politique",9566885
11,"paix",1953,9,"société",9566885
1,"paix",1953,9,"économie",9566885
35,"paix",1953,10,"culture",9566885
7,"paix",1953,10,"inclassable",9566885
279,"paix",1953,10,"international",9566885
59,"paix",1953,10,"politique",9566885
3,"paix",1953,10,"science/technologie",9566885
8,"paix",1953,10,"société",9566885
2,"paix",1953,10,"économie",9566885
14,"paix",1953,11,"culture",9566885
6,"paix",1953,11,"inclassable",9566885
184,"paix",1953,11,"international",9566885
96,"paix",1953,11,"politique",9566885
5,"paix",1953,11,"société",9566885
6,"paix",1953,11,"économie",9566885
32,"paix",1953,12,"culture",9566885
12,"paix",1953,12,"inclassable",9566885
256,"paix",1953,12,"international",9566885
79,"paix",1953,12,"politique",9566885
3,"paix",1953,12,"science/technologie",9566885
6,"paix",1953,12,"société",9566885
2,"paix",1953,12,"économie",9566885
24,"paix",1954,1,"culture",10491845
2,"paix",1954,1,"inclassable",10491845
260,"paix",1954,1,"international",10491845
71,"paix",1954,1,"politique",10491845
9,"paix",1954,1,"société",10491845
1,"paix",1954,1,"économie",10491845
20,"paix",1954,2,"culture",10491845
2,"paix",1954,2,"inclassable",10491845
185,"paix",1954,2,"international",10491845
41,"paix",1954,2,"politique",10491845
2,"paix",1954,2,"science/technologie",10491845
2,"paix",1954,2,"société",10491845
1,"paix",1954,2,"économie",10491845
27,"paix",1954,3,"culture",10491845
2,"paix",1954,3,"inclassable",10491845
183,"paix",1954,3,"international",10491845
85,"paix",1954,3,"politique",10491845
8,"paix",1954,3,"société",10491845
